paper_id,strategy_id,status,play_type,selection,model_prob,odds,ev,advantage_rate,data_quality_score,risk_tags,paper_stake,is_hit,paper_profit
127,candidate_strategy_v1,observation_only,spf,D,0.31251272627260274,3.2,4.07240723288016e-05,4.07240723288016e-05,85.0,赔率异常,1.0,1,2.2
128,candidate_strategy_v1,observation_only,spf,D,0.29486949634914705,3.4,0.0025562875870999147,0.0025562875870999147,85.0,赔率异常,1.0,0,-1.0
129,candidate_strategy_v1,observation_only,spf,D,0.31610807212047654,3.2,0.011545830785524958,0.011545830785524958,85.0,赔率异常,1.0,1,2.2
130,candidate_strategy_v1,observation_only,spf,D,0.2869011259745619,3.5,0.004153940910966769,0.004153940910966769,85.0,赔率异常,1.0,0,-1.0
131,candidate_strategy_v1,observation_only,spf,D,0.2959484958771424,3.4,0.006224885982284212,0.006224885982284212,85.0,赔率异常,1.0,1,2.4
132,candidate_strategy_v1,observation_only,spf,D,0.30777454218424893,3.25,0.0002672620988091179,0.0002672620988091179,85.0,赔率异常,1.0,0,-1.0
133,candidate_strategy_v1,observation_only,spf,D,0.29473307822166195,3.4,0.0020924659536505352,0.0020924659536505352,85.0,赔率异常,1.0,0,-1.0
134,candidate_strategy_v1,observation_only,spf,D,0.29669026165708917,3.4,0.008746889634103194,0.008746889634103194,85.0,赔率异常,1.0,0,-1.0
135,candidate_strategy_v1,observation_only,spf,D,0.2796326779768312,3.6,0.006677640716592492,0.006677640716592492,85.0,赔率异常,1.0,0,-1.0
136,candidate_strategy_v1,observation_only,spf,D,0.2789242248557878,3.6,0.004127209480836003,0.004127209480836003,85.0,机构分歧|赔率异常,1.0,0,-1.0
137,candidate_strategy_v1,observation_only,spf,D,0.2595942585239772,3.9,0.012417608243511014,0.012417608243511014,85.0,赔率异常,1.0,0,-1.0
138,candidate_strategy_v1,observation_only,spf,D,0.3091959652487096,3.25,0.004886887058306311,0.004886887058306311,85.0,赔率异常,1.0,0,-1.0
139,candidate_strategy_v1,observation_only,spf,D,0.2956369789901193,3.4,0.005165728566405736,0.005165728566405736,85.0,赔率异常,1.0,0,-1.0
140,candidate_strategy_v1,observation_only,spf,D,0.2893618222660002,3.5,0.012766377931000772,0.012766377931000772,85.0,赔率异常,1.0,0,-1.0
141,candidate_strategy_v1,observation_only,spf,D,0.2878169780273395,3.5,0.007359423095688378,0.007359423095688378,85.0,赔率异常,1.0,0,-1.0
142,candidate_strategy_v1,observation_only,spf,D,0.2782622765816328,3.6,0.001744195693877959,0.001744195693877959,85.0,赔率异常,1.0,1,2.6
143,candidate_strategy_v1,observation_only,spf,D,0.3367176515624128,3.0,0.010152954687238314,0.010152954687238314,85.0,赔率异常,1.0,0,-1.0
144,candidate_strategy_v1,observation_only,spf,D,0.28873138348076555,3.5,0.010559842182679358,0.010559842182679358,85.0,赔率异常,1.0,1,2.5
145,candidate_strategy_v1,observation_only,spf,D,0.27864867315125547,3.6,0.0031352233445196553,0.0031352233445196553,85.0,赔率异常,1.0,0,-1.0
146,candidate_strategy_v1,observation_only,spf,D,0.28661955224378205,3.5,0.003168432853237091,0.003168432853237091,85.0,赔率异常,1.0,0,-1.0
147,candidate_strategy_v1,observation_only,spf,D,0.2785169098381731,3.6,0.002660875417423325,0.002660875417423325,85.0,赔率异常,1.0,0,-1.0
148,candidate_strategy_v1,observation_only,spf,D,0.3030829939996285,3.3,0.0001738801987740679,0.0001738801987740679,85.0,赔率异常,1.0,0,-1.0
149,candidate_strategy_v1,observation_only,spf,D,0.2502692669719082,4.0,0.0010770678876328432,0.0010770678876328432,85.0,赔率异常,1.0,0,-1.0
150,candidate_strategy_v1,observation_only,spf,D,0.29718390639238335,3.4,0.010425281734103287,0.010425281734103287,85.0,赔率异常,1.0,0,-1.0
151,candidate_strategy_v1,observation_only,spf,D,0.28848378808418007,3.5,0.009693258294630303,0.009693258294630303,85.0,赔率异常,1.0,1,2.5
152,candidate_strategy_v1,observation_only,spf,D,0.279238260657628,3.6,0.005257738367461018,0.005257738367461018,85.0,赔率异常,1.0,0,-1.0
153,candidate_strategy_v1,observation_only,spf,D,0.3031819842947179,3.3,0.0005005481725688377,0.0005005481725688377,85.0,赔率异常,1.0,0,-1.0
154,candidate_strategy_v1,observation_only,spf,D,0.25266591781399117,4.0,0.01066367125596468,0.01066367125596468,85.0,赔率异常,1.0,0,-1.0
155,candidate_strategy_v1,observation_only,spf,D,0.3042331954424201,3.3,0.00396954495998636,0.00396954495998636,85.0,赔率异常,1.0,0,-1.0
156,candidate_strategy_v1,observation_only,spf,D,0.30499515752828776,3.3,0.006484019843349564,0.006484019843349564,85.0,赔率异常,1.0,1,2.3
157,candidate_strategy_v1,observation_only,spf,D,0.29479083601316236,3.4,0.002288842444752026,0.002288842444752026,85.0,赔率异常,1.0,0,-1.0
158,candidate_strategy_v1,observation_only,spf,D,0.28679222926304226,3.5,0.003772802420647814,0.003772802420647814,85.0,机构分歧|赔率异常,1.0,0,-1.0
159,candidate_strategy_v1,observation_only,spf,D,0.30512572677449257,3.3,0.006914898355825372,0.006914898355825372,85.0,赔率异常,1.0,0,-1.0
160,candidate_strategy_v1,observation_only,spf,D,0.2944389063420833,3.4,0.001092281563083164,0.001092281563083164,85.0,赔率异常,1.0,0,-1.0
