rule_id,rule_name,action,matched_count,hit_count,hit_rate,total_stake,total_profit,roi,max_drawdown,avg_odds,avg_ev,avg_model_prob,classification
invalid_odds_or_prob,无效赔率或概率,hard_ban,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sample_too_small
negative_ev,EV为负,hard_ban,28180,9404,0.3337118523775727,28180.0,-2319.78,-0.08232008516678496,2322.890000000004,3.392958836053939,-0.06452495162517902,0.3336705569292365,effective_block
low_ev,EV不足,observe_only,254,73,0.2874015748031496,254.0,-5.500000000000001,-0.021653543307086617,28.549999999999997,3.556535433070866,0.006196541508647036,0.2959170164375075,neutral
odds_out_of_range,赔率超出正式区间,observe_only,59,9,0.15254237288135594,59.0,-25.3,-0.4288135593220339,29.799999999999997,4.379661016949153,0.007221384594526806,0.26548992603435745,effective_block
low_model_probability,模型概率不足,observe_only,257,75,0.2918287937743191,257.0,-2.3000000000000007,-0.008949416342412454,28.700000000000003,3.5515953307393,0.006512300225415522,0.2963568316502634,neutral
